,id,lang,text,user_id,screen_name,name,statuses_count,retweet_count,source_url,source_url_cat
52,1265648624064757762,en,"RT @Suraphel_Diriba: Learn JavaScript in simple way
subscribe
https://t.co/AqxK6qra48
#WebDev #BigData #Analytics
#DataScience #CyberSecuri…",3100865684,silentvoice976,Akarsh,1009,17,https://www.akarshvs.xyz,https://www.akarshvs.xyz
53,1265648621200060417,en,"RT @Suraphel_Diriba: Learn JavaScript in simple way
subscribe
https://t.co/AqxK6qra48
#WebDev #BigData #Analytics
#DataScience #CyberSecuri…",744776302591303680,_100DaysOfCode,100daysofCode,120520,17,http://www.freecodecamo.com,http://www.freecodecamo.com
54,1265648613687951360,en,"RT @Suraphel_Diriba: Learn JavaScript in simple way
subscribe
https://t.co/AqxK6qra48
#WebDev #BigData #Analytics
#DataScience #CyberSecuri…",1134668128489656320,ShyBOT7,Shy BOT,43068,17,https://digitalinspiration.com,https://digitalinspiration.com
55,1265648509941841923,en,"Learn JavaScript in simple way
subscribe
https://t.co/AqxK6qra48
#WebDev #BigData #Analytics
#DataScience… https://t.co/jEKdtSxdqV",845635834510479361,Suraphel_Diriba,Suraphel Diriba,1327,17,https://mobile.twitter.com,https://mobile.twitter.com
56,1265648490811711489,en,RT @dom_beaini: 1/2 Me and my colleague @jd_horwood will be presenting some of the #MachineLearning #research done at @invivo_ai and @MILAM…,844641768129875969,dom_beaini,Dominique Beaini,126,5,http://twitter.com/download/android,http://twitter.com/download/android
57,1265647760478482432,en,"RT @KirkDBorne: Comparison of #DeepLearning Frameworks — #PyTorch vs. #TensorFlow: https://t.co/D0WmDr5YOK by @meheller  
—————
#BigData #D…",1244079407192584192,BlakenickPython,blakenick.python,816,46,https://www.freecodecamp.org/blake.nickens,https://www.freecodecamp.org/blake.nickens
58,1265647541338755072,en,"RT @aeromobix: Automateddriving  #india
#Security!
#Memes #math #science #engineering #cybersecurity #artificialintelligence #technology #m…",1182866592138350592,theInfernobot,Inferno,9154,21,https://google.com,https://google.com
59,1265647516659392514,en,"RT @aeromobix: Automateddriving  #india
#Security!
#Memes #math #science #engineering #cybersecurity #artificialintelligence #technology #m…",885513434569355265,Taieb_Bot,JSBot,446657,21,https://github.com/AlFalahTaieb,https://github.com/AlFalahTaieb
60,1265647503791226881,en,"RT @aeromobix: Automateddriving  #india
#Security!
#Memes #math #science #engineering #cybersecurity #artificialintelligence #technology #m…",1127829883013361665,xaelbot,xael bot,414224,21,https://yathinbabu.github.io,https://yathinbabu.github.io
61,1265647486930235398,en,"RT @aeromobix: Automateddriving  #india
#Security!
#Memes #math #science #engineering #cybersecurity #artificialintelligence #technology #m…",1229091405152256001,redianbot,Ready Dev,111873,21,https://go-shopal.herokuapp.com,https://go-shopal.herokuapp.com
